['', 'df.screenName', 'df.followersCount.x', 'df.statusesCount.x', 'df.friendsCount', 'df.listedCount', 'df.favoritesCount', 'status_id', 'vertical', 'client', 'text', 'tweet.time', 'followed_at', 'followed_back_at', 'impressions', 'retweets', 'replies', 'favorites', 'url.clicks', 'name_beg', 'name_end', 'name_mid', 'name', 'job_title', 'product', 'incentive', 'link', 'hashtag', 'question', 'price', 'CTA', 'percent', 'egoboost', 'RT', 'classification', 'engaged', 'engagednoclicks', 'clicked', 'followfirst.ts.', 'tweetfirst.fs.', 'tweetonly', 'existingfollower']
ginatrapani Hi Gina- We___d like to hear from an HR influencer; insight on our social recruiting White Paper: http://t.co/vmtmUDyYqH
PlugInstations Hi John - as an EV enthusiast, have you checked out our car chargers? http://t.co/E0NJ68w16Y
NA
MDNeppl We support green tech too, Mark. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
MDNeppl Hi Mark, for #EarthDay Leviton is giving away a FREE EV Charging Station! How will you celebrate? http://t.co/4nYaw9tegA
JenReynoldsBiz Hey Jennifer ___ When working on a design project, have you ever used Leviton lighting controls?
caine_melissa We support green tech too, Melissa. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
badamsfx Hi Brian - as an EV enthusiast, have you checked out our car chargers? http://t.co/fUVba5quRU
PamelaGreenInt We'd love an interior designer's opinion on lighting controls, Pamela. Do they impact your design?
DesignerGirl5 Hey Linda ___ When working on a design project, have you ever used Leviton lighting controls?
cbasinger We support green tech too, Christopher. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
CGDDesign Hey Cathleen ___ When working on a design project, have you ever used Leviton lighting controls?
michaellaunder We support green tech too, Michael. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
BuckinghamID We'd love an interior designer's opinion on lighting controls, Julia. How do they impact your design?
DriveOregon Hi Drive Oregon - as EV enthusiasts, have you checked out our car chargers? http://t.co/E0NJ68w16Y
JacksStudio We'd love an interior designer's opinion on lighting controls, Jacqueline. Do they impact your design?
GEMichigan Hi Green Earth Michigan- as EV enthusiasts, have you checked out our car chargers? http://t.co/E0NJ68w16Y
tiffhunterhome Hey Tiffany ___ When working on a design project, have you ever used Leviton lighting controls?
ElectricDrive We support green tech too, EDTA. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
TristanGary Hey Tristan ___ When working on a design project, have you ever used Leviton lighting controls?
ksnogas We support green tech too, Tom. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
300MPGBen Hi Ben - as an EV enthusiast, have you checked out our car chargers? http://t.co/fUVba5quRU
BM_ID We'd love an interior designer's opinion on lighting controls, Brianna. How do they impact your design?
KirkNason We support green tech too, Kirk. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
DebAntarDesign Hey Deborah ___ When working on a design project, have you ever used Leviton lighting controls?
EVfleet We support green tech too, EV Fleet. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
shhhhleah Hey Leah ___ When working on a design project, have you ever used Leviton lighting controls?
zapglobal Hi Zero Air Pollutions- as EV enthusiasts, have you checked out our car chargers? http://t.co/E0NJ68w16Y
LisaDavDesigns We'd love an interior designer's opinion on lighting controls, Lisa. How do they impact your design?
mpmccabe Hi Mike - as an EV enthusiast, have you checked out our car chargers? http://t.co/fUVba5quRU
mpmccabe Hi Mike, for #EarthDay Leviton is giving away a FREE EV Charging Station! How will you celebrate? http://t.co/piVgARAbkt
CameronCompany We'd love an interior designer's opinion on lighting controls, Jen. How do they impact your design?
Adam_Ganz We support green tech too, Adam. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
Adam_Ganz Hi Adam, for #EarthDay Leviton is giving away a FREE EV Charging Station! How will you celebrate? http://t.co/piVgARAbkt
TishCaldwell Hey Latisha ___ When working on a design project, have you ever used Leviton lighting controls?
DaveSMT We support green tech too, Dave. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
talliroberts Hey Talli ___ When working on a design project, have you ever used Leviton lighting controls?
MagneticSensors We support green tech too, Bill. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
MichaelThwaite We support green tech too, Michael. Familiar w/ our line of car chargers? http://t.co/fUVba5quRU We'd love your thoughts!
greenenergy4car Hi Ron - as an EV enthusiast, have you checked out our car chargers? http://t.co/fUVba5quRU
PeteBarkey Hi Pete - as an EV enthusiast, have you checked out our car chargers? http://t.co/E0NJ68w16Y
kalgyimesi We support green tech too, Kal. Familiar w/ our line of car chargers? http://t.co/E0NJ68w16Y We'd love your thoughts!
